arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa
scopus (0).csv,3,4,148
scopus (1).csv,4,10,1929
scopus (10).csv,1,1,7
scopus (11).csv,1,1,87
scopus (12).csv,0,14,150
scopus (13).csv,1,3,315
scopus (14).csv,1,1,1
scopus (15).csv,5,8,2140
scopus (16).csv,6,10,2687
scopus (17).csv,1,15,756
scopus (18).csv,1,55,12770
scopus (19).csv,5,5,36
scopus (2).csv,0,9,282
scopus (20).csv,3,4,159
scopus (21).csv,8,12,513
scopus (22).csv,1,16,954
scopus (23).csv,7,9,290
scopus (24).csv,5,5,36
scopus (25).csv,2,3,5
scopus (26).csv,6,9,4195
scopus (27).csv,0,0,5
scopus (28).csv,7,9,450
scopus (29).csv,3,4,12
scopus (3).csv,1,28,760
scopus (30).csv,3,4,126
scopus (31).csv,0,0,32
scopus (32).csv,3,22,1522
scopus (33).csv,0,50,11437
scopus (34).csv,6,7,659
scopus (35).csv,3,4,106
scopus (36).csv,3,4,175
scopus (37).csv,1,15,1309
scopus (38).csv,7,10,405
scopus (39).csv,5,5,34
scopus (4).csv,1,1,3
scopus (40).csv,2,3,27
scopus (41).csv,1,2,44
scopus (42).csv,2,16,1720
scopus (43).csv,7,10,530
scopus (44).csv,4,28,1418
scopus (5).csv,0,0,1
scopus (6).csv,4,7,1899
scopus (7).csv,1,22,18198
scopus (8).csv,3,3,122
scopus (9).csv,4,4,14
