arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa
acm (1).bib,1,5,883
acm (10).bib,0,4,466
acm (11).bib,1,4,919
acm (12).bib,1,8,773
acm (13).bib,1,6,921
acm (14).bib,1,3,17
acm (15).bib,1,7,897
acm (16).bib,1,4,928
acm (17).bib,0,4,908
acm (18).bib,0,1,895
acm (19).bib,5,12,134
acm (2).bib,0,5,915
acm (20).bib,0,1,791
acm (21).bib,1,8,881
acm (22).bib,0,3,907
acm (23).bib,1,8,848
acm (24).bib,5,12,134
acm (25).bib,0,2,107
acm (26).bib,1,6,897
acm (27).bib,0,1,159
acm (28).bib,1,9,787
acm (29).bib,5,9,83
acm (3).bib,0,5,953
acm (30).bib,0,2,623
acm (31).bib,0,3,592
acm (32).bib,0,5,906
acm (33).bib,0,1,870
acm (34).bib,6,14,917
acm (35).bib,0,2,597
acm (36).bib,0,1,868
acm (37).bib,0,3,928
acm (38).bib,1,8,832
acm (39).bib,5,12,161
acm (4).bib,4,9,294
acm (40).bib,0,2,352
acm (41).bib,0,2,628
acm (42).bib,0,2,913
acm (43).bib,1,7,856
acm (44).bib,2,8,851
acm (5).bib,0,0,294
acm (6).bib,1,5,903
acm (7).bib,0,4,928
acm (8).bib,1,7,881
acm (9).bib,5,11,442
acm.bib,1,8,845
