arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score
acm (1).bib,1,5,883,0.14286,0.00113,0.00566,0.00189
acm (10).bib,0,4,466,0.0,0.0,0.00858,0.0
acm (11).bib,1,4,919,0.14286,0.00109,0.00435,0.00174
acm (12).bib,1,8,773,0.14286,0.00129,0.01035,0.0023
acm (13).bib,1,6,921,0.14286,0.00109,0.00651,0.00186
acm (14).bib,1,3,17,0.14286,0.05882,0.17647,0.08824
acm (15).bib,1,7,897,0.14286,0.00111,0.0078,0.00195
acm (16).bib,1,4,928,0.14286,0.00108,0.00431,0.00172
acm (17).bib,0,4,908,0.0,0.0,0.00441,0.0
acm (18).bib,0,1,895,0.0,0.0,0.00112,0.0
acm (19).bib,5,12,134,0.71429,0.03731,0.08955,0.05268
acm (2).bib,0,5,915,0.0,0.0,0.00546,0.0
acm (20).bib,0,1,791,0.0,0.0,0.00126,0.0
acm (21).bib,1,8,881,0.14286,0.00114,0.00908,0.00202
acm (22).bib,0,3,907,0.0,0.0,0.00331,0.0
acm (23).bib,1,8,848,0.14286,0.00118,0.00943,0.0021
acm (24).bib,5,12,134,0.71429,0.03731,0.08955,0.05268
acm (25).bib,0,2,107,0.0,0.0,0.01869,0.0
acm (26).bib,1,6,897,0.14286,0.00111,0.00669,0.00191
acm (27).bib,0,1,159,0.0,0.0,0.00629,0.0
acm (28).bib,1,9,787,0.14286,0.00127,0.01144,0.00229
acm (29).bib,5,9,83,0.71429,0.06024,0.10843,0.07745
acm (3).bib,0,5,953,0.0,0.0,0.00525,0.0
acm (30).bib,0,2,623,0.0,0.0,0.00321,0.0
acm (31).bib,0,3,592,0.0,0.0,0.00507,0.0
acm (32).bib,0,5,906,0.0,0.0,0.00552,0.0
acm (33).bib,0,1,870,0.0,0.0,0.00115,0.0
acm (34).bib,6,14,917,0.85714,0.00654,0.01527,0.00916
acm (35).bib,0,2,597,0.0,0.0,0.00335,0.0
acm (36).bib,0,1,868,0.0,0.0,0.00115,0.0
acm (37).bib,0,3,928,0.0,0.0,0.00323,0.0
acm (38).bib,1,8,832,0.14286,0.0012,0.00962,0.00214
acm (39).bib,5,12,161,0.71429,0.03106,0.07453,0.04384
acm (4).bib,4,9,294,0.57143,0.01361,0.03061,0.01884
acm (40).bib,0,2,352,0.0,0.0,0.00568,0.0
acm (41).bib,0,2,628,0.0,0.0,0.00318,0.0
acm (42).bib,0,2,913,0.0,0.0,0.00219,0.0
acm (43).bib,1,7,856,0.14286,0.00117,0.00818,0.00204
acm (44).bib,2,8,851,0.28571,0.00235,0.0094,0.00376
acm (5).bib,0,0,294,0.0,0.0,0.0,
acm (6).bib,1,5,903,0.14286,0.00111,0.00554,0.00185
acm (7).bib,0,4,928,0.0,0.0,0.00431,0.0
acm (8).bib,1,7,881,0.14286,0.00114,0.00795,0.00199
acm (9).bib,5,11,442,0.71429,0.01131,0.02489,0.01555
acm.bib,1,8,845,0.14286,0.00118,0.00947,0.0021
