arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score
acm (1).bib,3,8,929,0.42857,0.00323,0.00861,0.0047
acm (10).bib,3,8,930,0.42857,0.00323,0.0086,0.00469
acm (11).bib,0,2,112,0.0,0.0,0.01786,0.0
acm (12).bib,5,10,326,0.71429,0.01534,0.03067,0.02045
acm (13).bib,3,10,890,0.42857,0.00337,0.01124,0.00519
acm (14).bib,1,1,233,0.14286,0.00429,0.00429,0.00429
acm (15).bib,1,1,40,0.14286,0.025,0.025,0.025
acm (16).bib,2,5,192,0.28571,0.01042,0.02604,0.01488
acm (17).bib,1,2,109,0.14286,0.00917,0.01835,0.01223
acm (18).bib,0,1,14,0.0,0.0,0.07143,0.0
acm (19).bib,1,1,1,0.14286,1.0,1.0,1.0
acm (2).bib,2,5,269,0.28571,0.00743,0.01859,0.01062
acm (20).bib,1,1,55,0.14286,0.01818,0.01818,0.01818
acm (21).bib,2,10,881,0.28571,0.00227,0.01135,0.00378
acm (22).bib,1,3,304,0.14286,0.00329,0.00987,0.00493
acm (23).bib,2,7,905,0.28571,0.00221,0.00773,0.00344
acm (24).bib,1,1,3,0.14286,0.33333,0.33333,0.33333
acm (25).bib,2,3,501,0.28571,0.00399,0.00599,0.00479
acm (26).bib,0,0,1,0.0,0.0,0.0,
acm (27).bib,1,2,92,0.14286,0.01087,0.02174,0.01449
acm (28).bib,2,4,130,0.28571,0.01538,0.03077,0.02051
acm (29).bib,1,1,1,0.14286,1.0,1.0,1.0
acm (3).bib,5,12,879,0.71429,0.00569,0.01365,0.00803
acm (30).bib,2,4,334,0.28571,0.00599,0.01198,0.00798
acm (31).bib,0,0,26,0.0,0.0,0.0,
acm (32).bib,2,4,210,0.28571,0.00952,0.01905,0.0127
acm (33).bib,5,10,857,0.71429,0.00583,0.01167,0.00778
acm (34).bib,1,1,296,0.14286,0.00338,0.00338,0.00338
acm (35).bib,2,3,98,0.28571,0.02041,0.03061,0.02449
acm (36).bib,4,13,892,0.57143,0.00448,0.01457,0.00686
acm (37).bib,3,6,266,0.42857,0.01128,0.02256,0.01504
acm (38).bib,2,3,15,0.28571,0.13333,0.2,0.16
acm (39).bib,1,1,142,0.14286,0.00704,0.00704,0.00704
acm (4).bib,1,1,149,0.14286,0.00671,0.00671,0.00671
acm (40).bib,1,1,74,0.14286,0.01351,0.01351,0.01351
acm (41).bib,0,0,24,0.0,0.0,0.0,
acm (42).bib,3,6,587,0.42857,0.00511,0.01022,0.00681
acm (43).bib,2,10,876,0.28571,0.00228,0.01142,0.00381
acm (44).bib,1,1,10,0.14286,0.1,0.1,0.1
acm (5).bib,1,1,935,0.14286,0.00107,0.00107,0.00107
acm (6).bib,2,6,932,0.28571,0.00215,0.00644,0.00322
acm (7).bib,4,8,414,0.57143,0.00966,0.01932,0.01288
acm (8).bib,1,6,930,0.14286,0.00108,0.00645,0.00184
acm (9).bib,1,1,271,0.14286,0.00369,0.00369,0.00369
acm.bib,2,3,904,0.28571,0.00221,0.00332,0.00265
