arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score
,,,,,,,
scopus (0).csv,3.0,4.0,148.0,0.11111,0.02027,0.02703,0.02317
scopus (1).csv,4.0,10.0,1929.0,0.14815,0.00207,0.00518,0.00296
scopus (10).csv,1.0,1.0,7.0,0.03704,0.14286,0.14286,0.14286
scopus (11).csv,1.0,1.0,87.0,0.03704,0.01149,0.01149,0.01149
scopus (12).csv,0.0,14.0,150.0,0.0,0.0,0.09333,0.0
scopus (13).csv,1.0,3.0,315.0,0.03704,0.00317,0.00952,0.00476
scopus (14).csv,1.0,1.0,1.0,0.03704,1.0,1.0,1.0
scopus (15).csv,5.0,8.0,2140.0,0.18519,0.00234,0.00374,0.00288
scopus (16).csv,6.0,10.0,2687.0,0.22222,0.00223,0.00372,0.00279
scopus (17).csv,1.0,15.0,756.0,0.03704,0.00132,0.01984,0.00248
scopus (18).csv,1.0,55.0,12770.0,0.03704,8e-05,0.00431,0.00015
scopus (19).csv,5.0,5.0,36.0,0.18519,0.13889,0.13889,0.13889
scopus (2).csv,0.0,9.0,282.0,0.0,0.0,0.03191,0.0
scopus (20).csv,3.0,4.0,159.0,0.11111,0.01887,0.02516,0.02156
scopus (21).csv,8.0,12.0,513.0,0.2963,0.01559,0.02339,0.01871
scopus (22).csv,1.0,16.0,954.0,0.03704,0.00105,0.01677,0.00197
scopus (23).csv,7.0,9.0,290.0,0.25926,0.02414,0.03103,0.02716
scopus (24).csv,5.0,5.0,36.0,0.18519,0.13889,0.13889,0.13889
scopus (25).csv,2.0,3.0,5.0,0.07407,0.4,0.6,0.48
scopus (26).csv,6.0,9.0,4195.0,0.22222,0.00143,0.00215,0.00172
scopus (27).csv,0.0,0.0,5.0,0.0,0.0,0.0,
scopus (28).csv,7.0,9.0,450.0,0.25926,0.01556,0.02,0.0175
scopus (29).csv,3.0,4.0,12.0,0.11111,0.25,0.33333,0.28571
scopus (3).csv,1.0,28.0,760.0,0.03704,0.00132,0.03684,0.00254
scopus (30).csv,3.0,4.0,126.0,0.11111,0.02381,0.03175,0.02721
scopus (31).csv,0.0,0.0,32.0,0.0,0.0,0.0,
scopus (32).csv,3.0,22.0,1522.0,0.11111,0.00197,0.01445,0.00347
scopus (33).csv,0.0,50.0,11437.0,0.0,0.0,0.00437,0.0
scopus (34).csv,6.0,7.0,659.0,0.22222,0.0091,0.01062,0.00981
scopus (35).csv,3.0,4.0,106.0,0.11111,0.0283,0.03774,0.03235
scopus (36).csv,3.0,4.0,175.0,0.11111,0.01714,0.02286,0.01959
scopus (37).csv,1.0,15.0,1309.0,0.03704,0.00076,0.01146,0.00143
scopus (38).csv,7.0,10.0,405.0,0.25926,0.01728,0.02469,0.02033
scopus (39).csv,5.0,5.0,34.0,0.18519,0.14706,0.14706,0.14706
scopus (4).csv,1.0,1.0,3.0,0.03704,0.33333,0.33333,0.33333
scopus (40).csv,2.0,3.0,27.0,0.07407,0.07407,0.11111,0.08889
scopus (41).csv,1.0,2.0,44.0,0.03704,0.02273,0.04545,0.0303
scopus (42).csv,2.0,16.0,1720.0,0.07407,0.00116,0.0093,0.00207
scopus (43).csv,7.0,10.0,530.0,0.25926,0.01321,0.01887,0.01554
scopus (44).csv,4.0,28.0,1418.0,0.14815,0.00282,0.01975,0.00494
scopus (5).csv,0.0,0.0,1.0,0.0,0.0,0.0,
scopus (6).csv,4.0,7.0,1899.0,0.14815,0.00211,0.00369,0.00268
scopus (7).csv,1.0,22.0,18198.0,0.03704,5e-05,0.00121,0.00011
scopus (8).csv,3.0,3.0,122.0,0.11111,0.02459,0.02459,0.02459
scopus (9).csv,4.0,4.0,14.0,0.14815,0.28571,0.28571,0.28571
