"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang G.; Ye H.; Lin Y.","Zhang, Guoheng (16445331600); Ye, Huilin (7201887885); Lin, Yuqing (26643062500)","16445331600; 7201887885; 26643062500","Quality attribute modeling and quality aware product configuration in software product lines","2014","Software Quality Journal","22","3","","365","401","36","32","10.1007/s11219-013-9197-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875049200&doi=10.1007%2fs11219-013-9197-z&partnerID=40&md5=ad822ef7f6b285eb153f76658a503708","Article","Final","","Scopus","2-s2.0-84875049200"
"Siegmund N.; Rosenmüller M.; Kästner C.; Giarrusso P.G.; Apel S.; Kolesnikov S.S.","Siegmund, Norbert (25825645900); Rosenmüller, Marko (35240944800); Kästner, Christian (35547901100); Giarrusso, Paolo G. (22734039100); Apel, Sven (8725218400); Kolesnikov, Sergiy S. (36451024500)","25825645900; 35240944800; 35547901100; 22734039100; 8725218400; 36451024500","Scalable prediction of non-functional properties in software product lines: Footprint and memory consumption","2013","Information and Software Technology","55","3","","491","507","16","64","10.1016/j.infsof.2012.07.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872961131&doi=10.1016%2fj.infsof.2012.07.020&partnerID=40&md5=6b156f0c57fa225ac4233c5604b091d6","Conference paper","Final","","Scopus","2-s2.0-84872961131"
"Siegmund N.; Rosenmüller M.; Kuhlemann M.; Kästner C.; Apel S.; Saake G.","Siegmund, Norbert (25825645900); Rosenmüller, Marko (35240944800); Kuhlemann, Martin (20433849900); Kästner, Christian (35547901100); Apel, Sven (8725218400); Saake, Gunter (7004621677)","25825645900; 35240944800; 20433849900; 35547901100; 8725218400; 7004621677","SPL Conqueror: Toward optimization of non-functional properties in software product lines","2012","Software Quality Journal","20","3-4","","487","517","30","140","10.1007/s11219-011-9152-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865652421&doi=10.1007%2fs11219-011-9152-9&partnerID=40&md5=bf85905c5f69cf761a11661012b7e44e","Article","Final","","Scopus","2-s2.0-84865652421"
"Lillacka M.; Müllerb J.; Eiseneckera U.W.","Lillacka, Max (54420367300); Müllerb, Johannes (57198685425); Eiseneckera, Ulrich W. (57194222774)","54420367300; 57198685425; 57194222774","Improved prediction of non-functional properties in Software Product Lines with domain context","2013","Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)","P-213","","","185","198","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922707665&partnerID=40&md5=54c26ec6127b77b87871663fe02acf05","Conference paper","Final","","Scopus","2-s2.0-84922707665"
"Zhang G.; Ye H.; Lin Y.","Zhang, Guoheng (16445331600); Ye, Huilin (7201887885); Lin, Yuqing (26643062500)","16445331600; 7201887885; 26643062500","Quality attributes assessment for feature-based product configuration in software product line","2010","Proceedings - Asia-Pacific Software Engineering Conference, APSEC","","","5693189","137","146","9","10","10.1109/APSEC.2010.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951729067&doi=10.1109%2fAPSEC.2010.25&partnerID=40&md5=d591d03fb3d4133be40d34b0af219080","Conference paper","Final","","Scopus","2-s2.0-79951729067"
"Siegmund N.; Rosenmüller M.; Kästner C.; Giarrusso P.G.; Apel S.; Kolesnikov S.S.","Siegmund, Norbert (25825645900); Rosenmüller, Marko (35240944800); Kästner, Christian (35547901100); Giarrusso, Paolo G. (22734039100); Apel, Sven (8725218400); Kolesnikov, Sergiy S. (36451024500)","25825645900; 35240944800; 35547901100; 22734039100; 8725218400; 36451024500","Scalable prediction of non-functional properties in software product lines","2011","Proceedings - 15th International Software Product Line Conference, SPLC 2011","","","6030057","160","169","9","58","10.1109/SPLC.2011.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054063419&doi=10.1109%2fSPLC.2011.20&partnerID=40&md5=3d82677d5d8c6f86be21db7fc85a7383","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-80054063419"
"Zhang G.; Ye H.; Lin Y.","Zhang, Guoheng (16445331600); Ye, Huilin (7201887885); Lin, Yuqing (26643062500)","16445331600; 7201887885; 26643062500","Modelling quality attributes in feature models in software product line engineering","2011","ICSOFT 2011 - Proceedings of the 6th International Conference on Software and Database Technologies","2","","","249","254","5","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052570797&partnerID=40&md5=9456e4adad312002ea2467ac523cccd3","Conference paper","Final","","Scopus","2-s2.0-80052570797"
