arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score
0.bib,0,0,110,0.0,0.0,0.0,
1.bib,1,2,244,0.1129,0.4098,0.8197,0.005464480874316941
10.bib,0,0,107,0.0,0.0,0.0,
11.bib,2,8,934,0.2257,0.2141,0.8565,0.003426124197002141
12.bib,1,3,433,0.1129,0.2309,0.6928,0.0034642032332563508
13.bib,0,2,70,0.0,0.0,2.8571,0.0
14.bib,2,3,13,0.2257,15.3846,23.0769,0.1846153846153846
15.bib,0,1,94,0.0,0.0,1.0638,0.0
16.bib,0,0,12,0.0,0.0,0.0,
17.bib,0,6,938,0.0,0.0,0.6397,0.0
18.bib,1,5,404,0.1129,0.2475,1.2376,0.004125412541254125
19.bib,2,4,14,0.2257,14.2857,28.5714,0.19047619047619047
2.bib,1,3,533,0.1129,0.1876,0.5629,0.0028142589118198874
20.bib,1,6,902,0.1129,0.1109,0.6652,0.0019005384859043393
21.bib,0,0,3,0.0,0.0,0.0,
22.bib,0,3,943,0.0,0.0,0.3181,0.0
23.bib,0,2,71,0.0,0.0,2.8169,0.0
24.bib,3,8,61,0.3386,4.918,13.1148,0.07153502235469449
25.bib,0,1,165,0.0,0.0,0.6061,0.0
26.bib,0,0,42,0.0,0.0,0.0,
27.bib,1,2,204,0.1129,0.4902,0.9804,0.006535947712418301
28.bib,1,4,82,0.1129,1.2195,4.878,0.01951219512195122
29.bib,5,10,77,0.5643,6.4935,12.987,0.08658008658008656
3.bib,0,0,2,0.0,0.0,0.0,
30.bib,0,0,8,0.0,0.0,0.0,
31.bib,0,0,32,0.0,0.0,0.0,
32.bib,0,0,27,0.0,0.0,0.0,
33.bib,1,6,262,0.1129,0.3817,2.2901,0.006543075245365322
34.bib,3,3,26,0.3386,11.5385,11.5385,0.11538461538461539
35.bib,0,1,200,0.0,0.0,0.5,0.0
36.bib,1,1,229,0.1129,0.4367,0.4367,0.004366812227074236
37.bib,0,1,177,0.0,0.0,0.565,0.0
38.bib,0,3,225,0.0,0.0,1.3333,0.0
39.bib,5,8,37,0.5643,13.5135,21.6216,0.16632016632016633
4.bib,2,3,13,0.2257,15.3846,23.0769,0.1846153846153846
40.bib,0,0,26,0.0,0.0,0.0,
41.bib,0,0,59,0.0,0.0,0.0,
42.bib,0,2,292,0.0,0.0,0.6849,0.0
43.bib,0,5,340,0.0,0.0,1.4706,0.0
44.bib,4,6,42,0.4515,9.5238,14.2857,0.11428571428571427
5.bib,1,6,863,0.1129,0.1159,0.6952,0.001986426088395961
6.bib,0,0,18,0.0,0.0,0.0,
7.bib,0,3,938,0.0,0.0,0.3198,0.0
8.bib,0,2,38,0.0,0.0,5.2632,0.0
9.bib,2,3,12,0.2257,16.6667,25.0,0.2
