"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Borandag E.; Ozcift A.; Kilinc D.; Yucalar F.","Borandag, Emin (57063310500); Ozcift, Akin (25654077600); Kilinc, Deniz (56952927700); Yucalar, Fatih (57063539900)","57063310500; 25654077600; 56952927700; 57063539900","Majority vote feature selection algorithm in software fault prediction","2019","Computer Science and Information Systems","16","2","","515","539","24","25","10.2298/CSIS180312039B","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071259610&doi=10.2298%2fCSIS180312039B&partnerID=40&md5=2b355eb226cb1aec6c1c144441d4a71d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85071259610"
"Mehmood I.; Shahid S.; Hussain H.; Khan I.; Ahmad S.; Rahman S.; Ullah N.; Huda S.","Mehmood, Iqra (58346305900); Shahid, Sidra (58346937300); Hussain, Hameed (36069652500); Khan, Inayat (57189853778); Ahmad, Shafiq (57209916514); Rahman, Shahid (57203457556); Ullah, Najeeb (57209472966); Huda, Shamsul (25823733700)","58346305900; 58346937300; 36069652500; 57189853778; 57209916514; 57203457556; 57209472966; 25823733700","A Novel Approach to Improve Software Defect Prediction Accuracy Using Machine Learning","2023","IEEE Access","11","","","63579","63597","18","18","10.1109/ACCESS.2023.3287326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162880626&doi=10.1109%2fACCESS.2023.3287326&partnerID=40&md5=c8b658b326999fda40afab58c3b02064","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85162880626"
"Malhotra R.; Jain J.","Malhotra, R. (15758058000); Jain, J. (57207990516)","15758058000; 57207990516","Predicting defects in object-oriented software using cost-sensitive classification","2021","IOP Conference Series: Materials Science and Engineering","1022","1","012112","","","","2","10.1088/1757-899X/1022/1/012112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100782598&doi=10.1088%2f1757-899X%2f1022%2f1%2f012112&partnerID=40&md5=97e136d161fbef6bb8906444c1b1ef65","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85100782598"
"Mohanty R.; Ravi V.","Mohanty, Ramakanta (57211211978); Ravi, Vadlamani (55128072100)","57211211978; 55128072100","Machine learning techniques to predict software defect","2016","Artificial Intelligence: Concepts, Methodologies, Tools, and Applications","2","","","1473","1487","14","2","10.4018/978-1-5225-1759-7.ch059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018614021&doi=10.4018%2f978-1-5225-1759-7.ch059&partnerID=40&md5=9feb43cd599a5948fff4549bc54df3eb","Book chapter","Final","","Scopus","2-s2.0-85018614021"
"Santos G.; Veloso A.; Figueiredo E.","Santos, Geanderson (57194680745); Veloso, Adriano (7003736503); Figueiredo, Eduardo (18433988600)","57194680745; 7003736503; 18433988600","The Subtle Art of Digging for Defects: Analyzing Features for Defect Prediction in Java Projects","2022","International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings","","","","371","378","7","1","10.5220/0011045700003176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139095213&doi=10.5220%2f0011045700003176&partnerID=40&md5=01f1a992051e58291d25d495e19fd748","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139095213"
"Singh P.; Verma S.","Singh, Pradeep (55568517785); Verma, Shirish (7402328422)","55568517785; 7402328422","An investigation of the effect of discretization on defect prediction using static measures","2009","ACT 2009 - International Conference on Advances in Computing, Control and Telecommunication Technologies","","","5375760","837","839","2","14","10.1109/ACT.2009.212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949310357&doi=10.1109%2fACT.2009.212&partnerID=40&md5=4c11f9b66c61c72d0b28837ad17cc17e","Conference paper","Final","","Scopus","2-s2.0-77949310357"
"Mustaqeem M.; Siddiqui T.; Khan N.A.; Kumar D.","Mustaqeem, Mohd (57223112377); Siddiqui, Tamanna (35186530000); Khan, Najeeb Ahmad (57216272434); Kumar, Deepak (57202478075)","57223112377; 35186530000; 57216272434; 57202478075","In-Depth Analysis of Various Artificial Intelligence Techniques in Software Engineering: Experimental Study","2023","Journal of Information Technology Management","15","3","","162","181","19","5","10.22059/jitm.2023.93632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174685569&doi=10.22059%2fjitm.2023.93632&partnerID=40&md5=512c32d3544aac4fd9d7a81f7dee11d6","Article","Final","","Scopus","2-s2.0-85174685569"
"","","","7th International Conference on Electrical Engineering Computer Science and Informatics, EECSI 2020","2020","International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)","2020-October","","","","","286","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097822545&partnerID=40&md5=3b52758665e6477a219369045afa6897","Conference review","Final","","Scopus","2-s2.0-85097822545"
"Dib M.; Ribeiro B.; Prates P.","Dib, Mario (57203758288); Ribeiro, Bernardete (35577774200); Prates, Pedro (36859545700)","57203758288; 35577774200; 36859545700","Model Prediction of Defects in Sheet Metal Forming Processes","2018","Communications in Computer and Information Science","893","","","169","180","11","17","10.1007/978-3-319-98204-5_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052876266&doi=10.1007%2f978-3-319-98204-5_14&partnerID=40&md5=e61556674713d0d10afd289498564569","Conference paper","Final","","Scopus","2-s2.0-85052876266"
"Anju A.J.; Judith J.E.","Anju, A.J. (57215216025); Judith, J.E. (52663657800)","57215216025; 52663657800","A reliable impact factor for feature SELECTION","2023","AIP Conference Proceedings","2904","1","020004","","","","0","10.1063/5.0170391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177602742&doi=10.1063%2f5.0170391&partnerID=40&md5=2f3e67055f6de80988d3fb664d1415f4","Conference paper","Final","","Scopus","2-s2.0-85177602742"
