"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Xia Y.; Wang C.; Feng X.; Cai M.","Xia, Yanqiu (57208515060); Wang, Chunli (58958123300); Feng, Xin (56576791900); Cai, Meirong (36616124600)","57208515060; 58958123300; 56576791900; 36616124600","Prediction of Friction and Wear Performance of Lubricating Oil Based on GRNN Optimized by GWO; [基于灰狼算法优化GRNN的润滑油摩擦磨损性能预测]","2023","Mocaxue Xuebao/Tribology","43","8","","947","955","8","2","10.16078/j.tribology.2022121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188821196&doi=10.16078%2fj.tribology.2022121&partnerID=40&md5=1bd5ef17da833e869815d029dc03a18d","Article","Final","","Scopus","2-s2.0-85188821196"
"Sun X.; Liu S.; Bao J.; Li J.; Liu Z.","Sun, Xuemin (57204839393); Liu, Shimin (57204846684); Bao, Jinsong (7201398425); Li, Jie (58610750700); Liu, Zengkun (57383949300)","57204839393; 57204846684; 7201398425; 58610750700; 57383949300","A performance prediction method for a high-precision servo valve supported by digital twin assembly-commissioning","2022","Machines","10","1","11","","","","17","10.3390/machines10010011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121649964&doi=10.3390%2fmachines10010011&partnerID=40&md5=e98a30e00255f72424bb3f31143f6216","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85121649964"
"Xia Y.; Wang Y.; Feng X.; Cai M.","Xia, Yanqiu (57208515060); Wang, Yuxing (58396760900); Feng, Xin (56576791900); Cai, Meirong (36616124600)","57208515060; 58396760900; 56576791900; 36616124600","Optimization Efficiency of Swarm Intelligence Search in Base Oil Performance Prediction Model; [群智能搜索在基础油性能预测模型中的优化效能]","2023","Mocaxue Xuebao/Tribology","43","4","","429","438","9","2","10.16078/j.tribology.2021304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163337337&doi=10.16078%2fj.tribology.2021304&partnerID=40&md5=8422b86a1e7ec76ff7d116390e313928","Article","Final","","Scopus","2-s2.0-85163337337"
"Ha H.; Zhang H.","Ha, Huong (57225447616); Zhang, Hongyu (55685668500)","57225447616; 55685668500","Performance-Influence Model for Highly Configurable Software with Fourier Learning and Lasso Regression","2019","Proceedings - 2019 IEEE International Conference on Software Maintenance and Evolution, ICSME 2019","","","8919029","470","480","10","24","10.1109/ICSME.2019.00080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077205596&doi=10.1109%2fICSME.2019.00080&partnerID=40&md5=6f28790900e746691a835334da7890d3","Conference paper","Final","","Scopus","2-s2.0-85077205596"
"Guo J.; Yang D.; Siegmund N.; Apel S.; Sarkar A.; Valov P.; Czarnecki K.; Wasowski A.; Yu H.","Guo, Jianmei (55550120500); Yang, Dingyu (56138675600); Siegmund, Norbert (25825645900); Apel, Sven (8725218400); Sarkar, Atrisha (57197756994); Valov, Pavel (57190745047); Czarnecki, Krzysztof (6603948729); Wasowski, Andrzej (6602554078); Yu, Huiqun (55494828500)","55550120500; 56138675600; 25825645900; 8725218400; 57197756994; 57190745047; 6603948729; 6602554078; 55494828500","Data-efficient performance learning for configurable systems","2018","Empirical Software Engineering","23","3","","1826","1867","41","80","10.1007/s10664-017-9573-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034603171&doi=10.1007%2fs10664-017-9573-6&partnerID=40&md5=f5dc413b4f96ec456cac1c732fc6fa83","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85034603171"
"Qiu Z.; Wang Y.; Li J.; Xie Y.; Zhang D.","Qiu, Zhilong (58311835300); Wang, Yuqi (57211416092); Li, Jinxing (57197732810); Xie, Yonghui (7403959440); Zhang, Di (57226849182)","58311835300; 57211416092; 57197732810; 7403959440; 57226849182","Performance prediction of gas turbine blade with multi-source random factors using active learning-based neural network","2024","Applied Thermal Engineering","242","","122481","","","","3","10.1016/j.applthermaleng.2024.122481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183117099&doi=10.1016%2fj.applthermaleng.2024.122481&partnerID=40&md5=099f577aea07c28a1f3a6feb76aa3e0a","Article","Final","","Scopus","2-s2.0-85183117099"
"Lou A.B.; Yang B.H.","Lou, A. Bixuan (59393456600); Yang, B. Huixin (59392785800)","59393456600; 59392785800","Advanced Data Augmentation Method for Solid Motors based on Artificial Intelligence","2024","ICARM 2024 - 2024 9th IEEE International Conference on Advanced Robotics and Mechatronics","","","","496","500","4","0","10.1109/ICARM62033.2024.10715809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208052895&doi=10.1109%2fICARM62033.2024.10715809&partnerID=40&md5=604eb3388aac4be645ac9eb6beaf605b","Conference paper","Final","","Scopus","2-s2.0-85208052895"
"Zhu J.","Zhu, Jiangtian (56104992800)","56104992800","World Men's 200m performance development trend applied research based on residual correction GM (1, 1) model","2014","BioTechnology: An Indian Journal","10","4","","841","848","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922801592&partnerID=40&md5=aee2c68dfbd2d765a18f771673cce4cf","Article","Final","","Scopus","2-s2.0-84922801592"
"Song Y.; Li F.; Wang Z.; Zhang B.; Zhang B.","Song, Yong (23977185500); Li, Feifei (57222535315); Wang, Zheng (37100677300); Zhang, Baozhong (59613793900); Zhang, Borui (57713121000)","23977185500; 57222535315; 37100677300; 59613793900; 57713121000","Uncertainty Quantification of Data-driven Quality Prediction Model For Realizing the Active Sampling Inspection of Mechanical Properties in Steel Production","2024","International Journal of Computational Intelligence Systems","17","1","74","","","","1","10.1007/s44196-024-00451-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189147795&doi=10.1007%2fs44196-024-00451-6&partnerID=40&md5=164b747a8e94c86f1a055c8af0f2c860","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189147795"
"Ha H.; Zhang H.","Ha, Huong (57225447616); Zhang, Hongyu (55685668500)","57225447616; 55685668500","DeepPerf: Performance Prediction for Configurable Software with Deep Sparse Neural Network","2019","Proceedings - International Conference on Software Engineering","2019-May","","8811988","1095","1106","11","83","10.1109/ICSE.2019.00113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072296070&doi=10.1109%2fICSE.2019.00113&partnerID=40&md5=86756357c108de5a150d4a5e8f30dac1","Conference paper","Final","","Scopus","2-s2.0-85072296070"
