"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Sarkar A.; Guo J.; Siegmund N.; Apel S.; Czarnecki K.","Sarkar, Atri (57197756994); Guo, Jianmei (55550120500); Siegmund, Norbert (25825645900); Apel, Sven (8725218400); Czarnecki, Krzysztof (6603948729)","57197756994; 55550120500; 25825645900; 8725218400; 6603948729","Cost-efficient sampling for performance prediction of configurable systems","2016","Proceedings - 2015 30th IEEE/ACM International Conference on Automated Software Engineering, ASE 2015","","","7372023","342","352","10","122","10.1109/ASE.2015.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963815450&doi=10.1109%2fASE.2015.45&partnerID=40&md5=71ca63c6251026190356682a97c06917","Conference paper","Final","","Scopus","2-s2.0-84963815450"
"Grebhahn A.; Rodrigo C.; Siegmund N.; Gaspar F.J.; Apel S.","Grebhahn, Alexander (42161301000); Rodrigo, Carmen (25028647200); Siegmund, Norbert (25825645900); Gaspar, Francisco J. (6604020629); Apel, Sven (8725218400)","42161301000; 25028647200; 25825645900; 6604020629; 8725218400","Performance-influence models of multigrid methods: A case study on triangular grids","2017","Concurrency and Computation: Practice and Experience","29","17","e4057","","","","16","10.1002/cpe.4057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011324301&doi=10.1002%2fcpe.4057&partnerID=40&md5=10d0286c45d08574b3bfc7036bf025a6","Conference paper","Final","","Scopus","2-s2.0-85011324301"
