"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Temple P.; Galindo J.A.; Acher M.; Jézéquel J.-M.","Temple, Paul (25825750000); Galindo, José A. (55702520851); Acher, Mathieu (35758465800); Jézéquel, Jean-Marc (35618077100)","25825750000; 55702520851; 35758465800; 35618077100","Using machine learning to infer constraints for product lines","2016","ACM International Conference Proceeding Series","16-23-September-2016","","","209","217","8","41","10.1145/2934466.2934472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991711490&doi=10.1145%2f2934466.2934472&partnerID=40&md5=eb7a680602b02b6be1dbdac77807527c","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84991711490"
"Li Y.; Schulze S.; Saake G.","Li, Yang (57196224741); Schulze, Sandro (35225243700); Saake, Gunter (7004621677)","57196224741; 35225243700; 7004621677","Reverse engineering variability from natural language documents: A systematic literature review","2017","ACM International Conference Proceeding Series","1","","","133","142","9","30","10.1145/3106195.3106207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032274023&doi=10.1145%2f3106195.3106207&partnerID=40&md5=abd2abcce09498f039201a967484f969","Conference paper","Final","","Scopus","2-s2.0-85032274023"
"Fortz S.; Temple P.; Devroey X.; Heymans P.; Perrouin G.","Fortz, Sophie (57219119934); Temple, Paul (25825750000); Devroey, Xavier (55445261100); Heymans, Patrick (8956561800); Perrouin, Gilles (8248069000)","57219119934; 25825750000; 55445261100; 8956561800; 8248069000","VaryMinions: leveraging RNNs to identify variants in variability-intensive systems’ logs","2024","Empirical Software Engineering","29","4","99","","","","1","10.1007/s10664-024-10473-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196023173&doi=10.1007%2fs10664-024-10473-5&partnerID=40&md5=a0a74cfa342be36e520121331746297e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85196023173"
"Safdar S.A.; Yue T.; Ali S.; Lu H.","Safdar, Safdar Aqeel (57191430140); Yue, Tao (25651096400); Ali, Shaukat (56962801700); Lu, Hong (57126555700)","57191430140; 25651096400; 56962801700; 57126555700","Using multi-objective search and machine learning to infer rules constraining product configurations","2020","Automated Software Engineering","27","1-2","","1","62","61","3","10.1007/s10515-019-00266-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072125311&doi=10.1007%2fs10515-019-00266-2&partnerID=40&md5=11a9c0d8c48df967bfc6433268a69f36","Article","Final","","Scopus","2-s2.0-85072125311"
