"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Temple P.; Galindo J.A.; Acher M.; Jézéquel J.-M.","Temple, Paul (25825750000); Galindo, José A. (55702520851); Acher, Mathieu (35758465800); Jézéquel, Jean-Marc (35618077100)","25825750000; 55702520851; 35758465800; 35618077100","Using machine learning to infer constraints for product lines","2016","ACM International Conference Proceeding Series","16-23-September-2016","","","209","217","8","41","10.1145/2934466.2934472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991711490&doi=10.1145%2f2934466.2934472&partnerID=40&md5=eb7a680602b02b6be1dbdac77807527c","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84991711490"
"Martin H.; Temple P.; Acher M.; Pereira J.A.; Jézéquel J.-M.","Martin, Hugo (57211178917); Temple, Paul (25825750000); Acher, Mathieu (35758465800); Pereira, Juliana Alves (56023378200); Jézéquel, Jean-Marc (35618077100)","57211178917; 25825750000; 35758465800; 56023378200; 35618077100","Machine learning for feature constraints discovery","2022","Handbook of Re-Engineering Software Intensive Systems into Software Product Lines","","","","175","196","21","0","10.1007/978-3-031-11686-5_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160471275&doi=10.1007%2f978-3-031-11686-5_7&partnerID=40&md5=d0b6386e41e9027651c364e68cd17673","Book chapter","Final","","Scopus","2-s2.0-85160471275"
"Prokopets V.; Pukhkaiev D.; Assmann U.","Prokopets, Volodymyr (58931363000); Pukhkaiev, Dmytro (55225948900); Assmann, Uwe (6603009666)","58931363000; 55225948900; 6603009666","Waffle: A Novel Feature Modeling Language for Highly-Configurable Software Systems","2024","2024 IEEE International Black Sea Conference on Communications and Networking, BlackSeaCom 2024","","","","382","385","3","0","10.1109/BlackSeaCom61746.2024.10646267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203813403&doi=10.1109%2fBlackSeaCom61746.2024.10646267&partnerID=40&md5=2f12fed0420683d12c8c08d29922eaba","Conference paper","Final","","Scopus","2-s2.0-85203813403"
